sample	metabolite	derivative	isotopologue	area	resolution
Sample_1	Fum 		0	376000	70000
Sample_1	Fum 		1	235000	70000
Sample_1	Fum 		2	127000	70000
Sample_1	Fum 		3	143000	70000
Sample_1	Fum 		4	40000	70000
Sample_1	OA 		0	0	80000
Sample_1	OA 		1	0	80000
Sample_1	OA 		2	0	80000
Sample_1	OA 		3	0	80000
Sample_1	OA 		4	0	80000
Sample_1	aKG 		0	761000	70000
Sample_1	aKG 		1	95100	70000
Sample_1	aKG 		2	391000	70000
Sample_1	aKG 		3	39300	70000
Sample_1	aKG 		4	0	70000
Sample_1	aKG 		5	0	70000
Sample_1	G3P 		0	715000	100000
Sample_1	G3P 		1	557000	100000
Sample_1	G3P 		2	24800	100000
Sample_1	G3P 		3	133000	100000
Sample_1	2/3PG 		0	1430000	70000
Sample_1	2/3PG 		1	2920000	70000
Sample_1	2/3PG 		2	226000	70000
Sample_1	2/3PG 		3	765000	70000
Sample_1	E4P 		0	854	70000
Sample_1	E4P 		1	10200	70000
Sample_1	E4P 		2	7760	70000
Sample_1	E4P 		3	1730	70000
Sample_1	E4P 		4	320	70000
Sample_2	Fum 		0	376000	70000
Sample_2	Fum 		1	235000	70000
Sample_2	Fum 		2	127000	70000
Sample_2	Fum 		3	143000	70000
Sample_2	Fum 		4	40000	70000
Sample_2	OA 		0	0	70000
Sample_2	OA 		1	0	70000
Sample_2	OA 		2	0	70000
Sample_2	OA 		3	0	70000
Sample_2	OA 		4	0	70000
Sample_2	aKG 		0	761000	70000
Sample_2	aKG 		1	95100	70000
Sample_2	aKG 		2	391000	70000
Sample_2	aKG 		3	39300	70000
Sample_2	aKG 		4	0	70000
Sample_2	aKG 		5	0	70000
Sample_2	G3P 		0	715000	70000
Sample_2	G3P 		1	557000	70000
Sample_2	G3P 		2	24800	70000
Sample_2	G3P 		3	133000	70000
Sample_2	2/3PG 		0	1430000	70000
Sample_2	2/3PG 		1	2920000	70000
Sample_2	2/3PG 		2	226000	70000
Sample_2	2/3PG 		3	765000	70000
Sample_2	E4P 		0	854	70000
Sample_2	E4P 		1	10200	70000
Sample_2	E4P 		2	7760	70000
Sample_2	E4P 		3	1730	70000
Sample_2	E4P 		4	320	70000
Sample_3	Fum 	TMS	0	376000	70000
Sample_3	Fum 	TMS	1	235000	70000
Sample_3	Fum 	TMS	2	127000	70000
Sample_3	Fum 	TMS	3	143000	70000
Sample_3	Fum 	TMS	4	40000	70000
Sample_3	OA 	TMS	0	0	70000
Sample_3	OA 	TMS	1	0	70000
Sample_3	OA 	TMS	2	0	70000
Sample_3	OA 	TMS	3	0	70000
Sample_3	OA 	TMS	4	0	70000
Sample_3	aKG 	TMS	0	761000	70000
Sample_3	aKG 	TMS	1	95100	70000
Sample_3	aKG 	TMS	2	391000	70000
Sample_3	aKG 	TMS	3	39300	70000
Sample_3	aKG 	TMS	4	0	70000
Sample_3	aKG 	TMS	5	0	70000
Sample_3	G3P 	TMS	0	715000	70000
Sample_3	G3P 	TMS	1	557000	70000
Sample_3	G3P 	TMS	2	24800	70000
Sample_3	G3P 	TMS	3	133000	70000
Sample_3	2/3PG 	TMS	0	1430000	70000
Sample_3	2/3PG 	TMS	1	2920000	70000
Sample_3	2/3PG 	TMS	2	226000	70000
Sample_3	2/3PG 	TMS	3	765000	70000
Sample_3	E4P 	TMS	0	854	70000
Sample_3	E4P 	TMS	1	10200	70000
Sample_3	E4P 	TMS	2	7760	70000
Sample_3	E4P 	TMS	3	1730	70000
Sample_3	E4P 	TMS	4	320	70000
